a,b,c,d,e,f,g,h,i
[0.8337269],0,1,1,1,0.8337269,0.8337269,3.8337269,0
[0.5378936],0,0,0,0,0.5378936,0.5378936,0.5378936,0
[0.5195248],1,1,1,1,0.5195248,0.5195248,4.5195248,1
[0.60677874],1,1,1,1,0.60677874,0.60677874,4.60677874,1
[0.46403337],0,0,1,0,0.46403337,0.46403337,1.46403337,0
[0.8337269],0,1,1,1,0.8337269,0.8337269,3.8337269,0
[0.54007107],0,1,1,0,0.54007107,0.54007107,2.54007107,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.4163006],1,0,0,0,0.4163006,0.4163006,1.4163006,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.80704683],0,1,1,1,0.80704683,0.80704683,3.80704683,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.4791782],0,0,0,0,0.4791782,0.4791782,0.4791782,0
[0.37330592],0,0,0,0,0.37330592,0.37330592,0.37330592,0
[0.8337269],0,1,1,1,0.8337269,0.8337269,3.8337269,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.48455343],0,1,1,1,0.48455343,0.48455343,3.48455343,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.42784762],0,1,1,1,0.42784762,0.42784762,3.42784762,0
[0.5980656],1,1,1,1,0.5980656,0.5980656,4.5980656,1
[0.5641724],0,0,1,0,0.5641724,0.5641724,1.5641724,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.5792055],1,1,1,1,0.5792055,0.5792055,4.5792055,1
[0.5943857],1,1,1,1,0.5943857,0.5943857,4.5943857,1
[0.30905065],1,0,0,1,0.30905065,0.30905065,2.30905065,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.5926916],1,1,1,1,0.5926916,0.5926916,4.5926916,1
[0.5456497],1,1,1,1,0.5456497,0.5456497,4.5456497,1
[0.5097387],1,1,1,1,0.5097387,0.5097387,4.5097387,1
[0.3363056],0,0,0,0,0.3363056,0.3363056,0.3363056,0
[0.6009214],1,1,1,1,0.6009214,0.6009214,4.6009214,1
[0.37169087],0,0,0,0,0.37169087,0.37169087,0.37169087,0
[0.59749585],1,1,1,1,0.59749585,0.59749585,4.59749585,1
[0.5208572],1,1,1,1,0.5208572,0.5208572,4.5208572,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.52000284],0,1,1,1,0.52000284,0.52000284,3.52000284,0
[0.5076952],0,1,1,1,0.5076952,0.5076952,3.5076952,0
[0.44603172],0,0,0,0,0.44603172,0.44603172,0.44603172,0
[0.72572577],1,1,1,1,0.72572577,0.72572577,4.72572577,1
[0.4492171],0,0,0,0,0.4492171,0.4492171,0.4492171,0
[0.50962377],0,0,0,0,0.50962377,0.50962377,0.50962377,0
[0.5928209],1,1,1,1,0.5928209,0.5928209,4.5928209,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.78842354],1,1,1,1,0.78842354,0.78842354,4.78842354,1
[0.66018695],1,1,1,1,0.66018695,0.66018695,4.66018695,1
[0.3269464],0,0,0,0,0.3269464,0.3269464,0.3269464,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.70079607],1,1,1,1,0.70079607,0.70079607,4.70079607,1
[0.6753962],1,1,1,1,0.6753962,0.6753962,4.6753962,1
[0.5957197],0,0,0,0,0.5957197,0.5957197,0.5957197,0
[0.63542026],1,1,1,1,0.63542026,0.63542026,4.63542026,1
[0.5906676],0,1,1,1,0.5906676,0.5906676,3.5906676,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],0,1,1,1,0.8337269,0.8337269,3.8337269,0
[0.320408],1,0,0,1,0.320408,0.320408,2.320408,0
[0.5991063],1,1,1,1,0.5991063,0.5991063,4.5991063,1
[0.66144204],1,1,1,1,0.66144204,0.66144204,4.66144204,1
[0.61171556],1,1,1,1,0.61171556,0.61171556,4.61171556,1
[0.5016533],0,1,1,1,0.5016533,0.5016533,3.5016533,0
[0.44242284],1,0,1,1,0.44242284,0.44242284,3.44242284,0
[0.8337269],0,1,1,1,0.8337269,0.8337269,3.8337269,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.5471239],0,1,1,1,0.5471239,0.5471239,3.5471239,0
[0.6241674],1,1,1,1,0.6241674,0.6241674,4.6241674,1
[0.79910827],1,1,1,1,0.79910827,0.79910827,4.79910827,1
[0.61579174],1,1,1,1,0.61579174,0.61579174,4.61579174,1
[0.3898434],1,0,0,0,0.3898434,0.3898434,1.3898434,0
[0.59380305],0,1,1,1,0.59380305,0.59380305,3.59380305,0
[0.5847397],1,1,1,1,0.5847397,0.5847397,4.5847397,1
[0.48421386],1,0,1,1,0.48421386,0.48421386,3.48421386,0
[0.5749276],1,1,1,1,0.5749276,0.5749276,4.5749276,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],0,1,1,1,0.8337269,0.8337269,3.8337269,0
[0.49391067],0,0,0,0,0.49391067,0.49391067,0.49391067,0
[0.58511204],0,1,1,0,0.58511204,0.58511204,2.58511204,0
[0.6461549],0,1,1,1,0.6461549,0.6461549,3.6461549,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.78751194],1,1,1,1,0.78751194,0.78751194,4.78751194,1
[0.5503355],1,1,1,1,0.5503355,0.5503355,4.5503355,1
[0.69946253],1,1,1,1,0.69946253,0.69946253,4.69946253,1
[0.325132],0,0,0,0,0.325132,0.325132,0.325132,0
[0.75408286],1,1,1,1,0.75408286,0.75408286,4.75408286,1
[0.7829332],1,1,1,1,0.7829332,0.7829332,4.7829332,1
[0.5045336],0,0,0,0,0.5045336,0.5045336,0.5045336,0
[0.4607971],0,0,0,1,0.4607971,0.4607971,1.4607971,0
[0.51108617],1,1,1,1,0.51108617,0.51108617,4.51108617,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.59807134],0,0,1,1,0.59807134,0.59807134,2.59807134,0
[0.8342769],1,1,1,1,0.8342769,0.8342769,4.8342769,1
[0.6200142],1,1,1,1,0.6200142,0.6200142,4.6200142,1
[0.52245235],0,1,1,1,0.52245235,0.52245235,3.52245235,0
[0.6073229],1,1,1,1,0.6073229,0.6073229,4.6073229,1
[0.50289416],1,1,1,1,0.50289416,0.50289416,4.50289416,1
[0.65621805],0,1,1,1,0.65621805,0.65621805,3.65621805,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.49594486],0,0,0,0,0.49594486,0.49594486,0.49594486,0
[0.47966573],0,1,1,1,0.47966573,0.47966573,3.47966573,0
[0.5450509],0,0,1,1,0.5450509,0.5450509,2.5450509,0
[0.41810563],1,0,0,1,0.41810563,0.41810563,2.41810563,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.5541137],1,1,1,1,0.5541137,0.5541137,4.5541137,1
[0.48594046],0,0,0,0,0.48594046,0.48594046,0.48594046,0
[0.7881875],1,1,1,1,0.7881875,0.7881875,4.7881875,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.57887423],0,0,0,1,0.57887423,0.57887423,1.57887423,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.42037207],1,0,0,0,0.42037207,0.42037207,1.42037207,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.732332],1,1,1,1,0.732332,0.732332,4.732332,1
[0.39940742],1,0,0,0,0.39940742,0.39940742,1.39940742,0
[0.5121703],0,1,1,1,0.5121703,0.5121703,3.5121703,0
[0.5641825],0,1,1,1,0.5641825,0.5641825,3.5641825,0
[0.60057724],1,1,1,1,0.60057724,0.60057724,4.60057724,1
[0.32838053],0,0,0,0,0.32838053,0.32838053,0.32838053,0
[0.4490561],0,0,0,0,0.4490561,0.4490561,0.4490561,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.6005497],1,1,1,1,0.6005497,0.6005497,4.6005497,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.7535909],1,1,1,1,0.7535909,0.7535909,4.7535909,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.48300788],0,0,1,1,0.48300788,0.48300788,2.48300788,0
[0.36474237],0,0,0,0,0.36474237,0.36474237,0.36474237,0
[0.57090324],1,0,1,1,0.57090324,0.57090324,3.57090324,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.59589994],0,1,1,1,0.59589994,0.59589994,3.59589994,0
[0.55310607],0,1,1,1,0.55310607,0.55310607,3.55310607,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.64260113],1,1,1,1,0.64260113,0.64260113,4.64260113,1
[0.7884847],1,1,1,1,0.7884847,0.7884847,4.7884847,1
[0.49919096],0,1,1,0,0.49919096,0.49919096,2.49919096,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.5948655],0,0,0,0,0.5948655,0.5948655,0.5948655,0
[0.7899794],1,1,1,1,0.7899794,0.7899794,4.7899794,1
[0.59037673],0,1,1,1,0.59037673,0.59037673,3.59037673,0
[0.78803825],1,1,1,1,0.78803825,0.78803825,4.78803825,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.74951035],1,1,1,1,0.74951035,0.74951035,4.74951035,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.4915749],1,1,1,1,0.4915749,0.4915749,4.4915749,1
[0.55913806],1,1,1,1,0.55913806,0.55913806,4.55913806,1
[0.70748353],1,1,1,1,0.70748353,0.70748353,4.70748353,1
[0.5759927],1,0,0,1,0.5759927,0.5759927,2.5759927,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.6696775],0,1,1,1,0.6696775,0.6696775,3.6696775,0
[0.4180489],0,0,0,1,0.4180489,0.4180489,1.4180489,0
[0.74447227],0,1,1,1,0.74447227,0.74447227,3.74447227,0
[0.6814154],1,1,1,1,0.6814154,0.6814154,4.6814154,1
[0.73203653],1,1,1,1,0.73203653,0.73203653,4.73203653,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.5614929],0,1,1,1,0.5614929,0.5614929,3.5614929,0
[0.5758674],0,1,1,0,0.5758674,0.5758674,2.5758674,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.7721989],1,1,1,1,0.7721989,0.7721989,4.7721989,1
[0.28716543],0,0,0,0,0.28716543,0.28716543,0.28716543,0
[0.53145945],1,0,1,1,0.53145945,0.53145945,3.53145945,0
[0.61337686],0,1,1,1,0.61337686,0.61337686,3.61337686,0
[0.4778062],0,0,1,0,0.4778062,0.4778062,1.4778062,0
[0.560719],1,1,1,1,0.560719,0.560719,4.560719,1
[0.5950869],1,1,1,1,0.5950869,0.5950869,4.5950869,1
[0.74710274],1,1,1,1,0.74710274,0.74710274,4.74710274,1
[0.65401936],1,1,1,1,0.65401936,0.65401936,4.65401936,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.7544631],1,1,1,1,0.7544631,0.7544631,4.7544631,1
[0.45241642],1,1,1,1,0.45241642,0.45241642,4.45241642,1
[0.6000591],1,1,1,1,0.6000591,0.6000591,4.6000591,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.44229728],0,0,0,0,0.44229728,0.44229728,0.44229728,0
[0.5185258],0,1,1,1,0.5185258,0.5185258,3.5185258,0
[0.48652217],0,0,0,0,0.48652217,0.48652217,0.48652217,0
[0.55394244],1,1,1,1,0.55394244,0.55394244,4.55394244,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.40692204],1,0,0,1,0.40692204,0.40692204,2.40692204,0
[0.41247296],1,0,0,0,0.41247296,0.41247296,1.41247296,0
[0.6785176],1,1,1,1,0.6785176,0.6785176,4.6785176,1
[0.40890557],0,0,0,0,0.40890557,0.40890557,0.40890557,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.7882166],1,1,1,1,0.7882166,0.7882166,4.7882166,1
[0.5525912],1,1,1,1,0.5525912,0.5525912,4.5525912,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.47906026],1,1,1,0,0.47906026,0.47906026,3.47906026,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.6987391],1,1,1,1,0.6987391,0.6987391,4.6987391,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.6692898],1,1,1,1,0.6692898,0.6692898,4.6692898,1
[0.6168351],0,1,1,1,0.6168351,0.6168351,3.6168351,0
[0.58905745],1,1,1,1,0.58905745,0.58905745,4.58905745,1
[0.5439069],0,0,0,0,0.5439069,0.5439069,0.5439069,0
[0.5716717],1,1,1,1,0.5716717,0.5716717,4.5716717,1
[0.68460363],0,1,1,1,0.68460363,0.68460363,3.68460363,0
[0.54050195],0,1,1,1,0.54050195,0.54050195,3.54050195,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.6070664],1,1,1,1,0.6070664,0.6070664,4.6070664,1
[0.51488376],0,1,1,1,0.51488376,0.51488376,3.51488376,0
[0.4227705],0,0,0,0,0.4227705,0.4227705,0.4227705,0
[0.7397697],1,1,1,1,0.7397697,0.7397697,4.7397697,1
[0.6640587],1,1,1,1,0.6640587,0.6640587,4.6640587,1
[0.62988865],1,1,1,1,0.62988865,0.62988865,4.62988865,1
[0.28756914],0,0,0,1,0.28756914,0.28756914,1.28756914,0
[0.5943626],0,1,1,1,0.5943626,0.5943626,3.5943626,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.38369328],0,0,0,0,0.38369328,0.38369328,0.38369328,0
[0.483938],0,0,0,0,0.483938,0.483938,0.483938,0
[0.6507266],1,1,1,1,0.6507266,0.6507266,4.6507266,1
[0.47849065],0,0,0,0,0.47849065,0.47849065,0.47849065,0
[0.5181228],1,1,1,1,0.5181228,0.5181228,4.5181228,1
[0.57265115],1,1,1,1,0.57265115,0.57265115,4.57265115,1
[0.6363175],1,1,1,1,0.6363175,0.6363175,4.6363175,1
[0.5170489],0,0,0,0,0.5170489,0.5170489,0.5170489,0
[0.23981409],0,0,0,0,0.23981409,0.23981409,0.23981409,0
[0.5519223],1,1,1,1,0.5519223,0.5519223,4.5519223,1
[0.40100408],1,0,0,1,0.40100408,0.40100408,2.40100408,0
[0.53366184],1,1,1,1,0.53366184,0.53366184,4.53366184,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.5913612],1,1,1,1,0.5913612,0.5913612,4.5913612,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.29845667],0,0,0,0,0.29845667,0.29845667,0.29845667,0
[0.49663824],1,1,1,1,0.49663824,0.49663824,4.49663824,1
[0.5141438],1,1,1,1,0.5141438,0.5141438,4.5141438,1
[0.66023314],1,1,1,1,0.66023314,0.66023314,4.66023314,1
[0.4850453],0,1,1,0,0.4850453,0.4850453,2.4850453,0
[0.53422165],0,1,1,1,0.53422165,0.53422165,3.53422165,0
[0.596572],1,1,1,1,0.596572,0.596572,4.596572,1
[0.44764456],1,1,1,1,0.44764456,0.44764456,4.44764456,1
[0.307294],0,0,0,0,0.307294,0.307294,0.307294,0
[0.6392417],1,1,1,1,0.6392417,0.6392417,4.6392417,1
[0.61450446],1,1,1,1,0.61450446,0.61450446,4.61450446,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.54883635],0,1,1,1,0.54883635,0.54883635,3.54883635,0
[0.7886275],1,1,1,1,0.7886275,0.7886275,4.7886275,1
[0.4355244],1,0,1,1,0.4355244,0.4355244,3.4355244,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.59908766],1,1,1,1,0.59908766,0.59908766,4.59908766,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.3567017],0,0,0,0,0.3567017,0.3567017,0.3567017,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.3150422],0,0,0,0,0.3150422,0.3150422,0.3150422,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.5381558],0,1,1,1,0.5381558,0.5381558,3.5381558,0
[0.7201639],1,1,1,1,0.7201639,0.7201639,4.7201639,1
[0.4635878],0,0,1,1,0.4635878,0.4635878,2.4635878,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.2694004],0,0,0,0,0.2694004,0.2694004,0.2694004,0
[0.33884445],0,0,0,0,0.33884445,0.33884445,0.33884445,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.437197],0,0,0,0,0.437197,0.437197,0.437197,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.5603193],1,1,1,1,0.5603193,0.5603193,4.5603193,1
[0.5839622],0,1,1,1,0.5839622,0.5839622,3.5839622,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.6080922],1,1,1,1,0.6080922,0.6080922,4.6080922,1
[0.5658163],1,1,1,1,0.5658163,0.5658163,4.5658163,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.7703773],1,1,1,1,0.7703773,0.7703773,4.7703773,1
[0.6202109],0,1,1,1,0.6202109,0.6202109,3.6202109,0
[0.28603014],1,0,0,0,0.28603014,0.28603014,1.28603014,0
[0.4839282],0,0,0,0,0.4839282,0.4839282,0.4839282,0
[0.46165574],1,1,1,1,0.46165574,0.46165574,4.46165574,1
[0.7874959],1,1,1,1,0.7874959,0.7874959,4.7874959,1
[0.42475447],1,0,0,1,0.42475447,0.42475447,2.42475447,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.5322311],1,1,1,1,0.5322311,0.5322311,4.5322311,1
[0.8052671],1,1,1,1,0.8052671,0.8052671,4.8052671,1
[0.4244716],0,0,0,0,0.4244716,0.4244716,0.4244716,0
[0.43786526],1,0,0,0,0.43786526,0.43786526,1.43786526,0
[0.42126027],1,0,0,1,0.42126027,0.42126027,2.42126027,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.60220855],1,1,1,1,0.60220855,0.60220855,4.60220855,1
[0.5208763],1,0,1,1,0.5208763,0.5208763,3.5208763,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.31942195],0,0,0,0,0.31942195,0.31942195,0.31942195,0
[0.4651954],0,0,0,0,0.4651954,0.4651954,0.4651954,0
[0.61127675],1,1,1,1,0.61127675,0.61127675,4.61127675,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.43195587],1,0,0,1,0.43195587,0.43195587,2.43195587,0
[0.4183104],0,0,0,0,0.4183104,0.4183104,0.4183104,0
[0.47094038],0,0,0,0,0.47094038,0.47094038,0.47094038,0
[0.78799176],1,1,1,1,0.78799176,0.78799176,4.78799176,1
[0.6148077],0,1,1,1,0.6148077,0.6148077,3.6148077,0
[0.41976932],0,0,0,1,0.41976932,0.41976932,1.41976932,0
[0.33287898],0,0,0,0,0.33287898,0.33287898,0.33287898,0
[0.7878118],1,1,1,1,0.7878118,0.7878118,4.7878118,1
[0.615085],1,1,1,1,0.615085,0.615085,4.615085,1
[0.59882486],1,1,1,1,0.59882486,0.59882486,4.59882486,1
[0.78864455],0,1,1,1,0.78864455,0.78864455,3.78864455,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.7099368],1,1,1,1,0.7099368,0.7099368,4.7099368,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.6056154],1,1,1,1,0.6056154,0.6056154,4.6056154,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.49652803],0,0,0,0,0.49652803,0.49652803,0.49652803,0
[0.60146695],0,1,1,1,0.60146695,0.60146695,3.60146695,0
[0.5147158],0,1,1,1,0.5147158,0.5147158,3.5147158,0
[0.5250776],0,0,0,0,0.5250776,0.5250776,0.5250776,0
[0.7283172],1,1,1,1,0.7283172,0.7283172,4.7283172,1
[0.8337269],0,1,1,1,0.8337269,0.8337269,3.8337269,0
[0.67316747],0,1,1,1,0.67316747,0.67316747,3.67316747,0
[0.5723249],0,1,1,1,0.5723249,0.5723249,3.5723249,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.47557646],0,0,0,0,0.47557646,0.47557646,0.47557646,0
[0.62979996],1,1,1,1,0.62979996,0.62979996,4.62979996,1
[0.5292009],0,0,1,0,0.5292009,0.5292009,1.5292009,0
[0.7870462],1,1,1,1,0.7870462,0.7870462,4.7870462,1
[0.50765777],0,0,0,1,0.50765777,0.50765777,1.50765777,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.5597129],1,1,1,1,0.5597129,0.5597129,4.5597129,1
[0.4302364],0,0,0,0,0.4302364,0.4302364,0.4302364,0
[0.36317843],0,0,0,0,0.36317843,0.36317843,0.36317843,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.58255076],0,1,1,0,0.58255076,0.58255076,2.58255076,0
[0.8337269],0,1,1,1,0.8337269,0.8337269,3.8337269,0
[0.63627374],1,1,1,1,0.63627374,0.63627374,4.63627374,1
[0.38580808],0,0,0,1,0.38580808,0.38580808,1.38580808,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.6074928],0,1,1,1,0.6074928,0.6074928,3.6074928,0
[0.6110946],1,1,1,1,0.6110946,0.6110946,4.6110946,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.51929665],0,1,1,1,0.51929665,0.51929665,3.51929665,0
[0.38014936],0,0,0,1,0.38014936,0.38014936,1.38014936,0
[0.51344866],1,1,1,1,0.51344866,0.51344866,4.51344866,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.67627865],1,1,1,1,0.67627865,0.67627865,4.67627865,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.2814324],0,0,0,0,0.2814324,0.2814324,0.2814324,0
[0.6847761],1,1,1,1,0.6847761,0.6847761,4.6847761,1
[0.29439783],1,0,0,1,0.29439783,0.29439783,2.29439783,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.5159506],0,1,1,1,0.5159506,0.5159506,3.5159506,0
[0.5250647],0,1,1,0,0.5250647,0.5250647,2.5250647,0
[0.37272248],0,0,0,0,0.37272248,0.37272248,0.37272248,0
[0.7451838],1,1,1,1,0.7451838,0.7451838,4.7451838,1
[0.5898087],1,1,1,1,0.5898087,0.5898087,4.5898087,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.6895106],1,1,1,1,0.6895106,0.6895106,4.6895106,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.4808909],1,1,1,1,0.4808909,0.4808909,4.4808909,1
[0.5658219],0,1,1,0,0.5658219,0.5658219,2.5658219,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.6138201],1,1,1,1,0.6138201,0.6138201,4.6138201,1
[0.5131986],0,0,1,0,0.5131986,0.5131986,1.5131986,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.7435733],1,1,1,1,0.7435733,0.7435733,4.7435733,1
[0.5264667],1,1,1,1,0.5264667,0.5264667,4.5264667,1
[0.6007023],0,1,1,1,0.6007023,0.6007023,3.6007023,0
[0.38894698],0,0,0,0,0.38894698,0.38894698,0.38894698,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.5276474],0,0,1,0,0.5276474,0.5276474,1.5276474,0
[0.5846756],1,1,1,1,0.5846756,0.5846756,4.5846756,1
[0.56811434],1,1,1,1,0.56811434,0.56811434,4.56811434,1
[0.75040877],1,1,1,1,0.75040877,0.75040877,4.75040877,1
[0.5747722],1,1,1,1,0.5747722,0.5747722,4.5747722,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.37348667],1,0,0,1,0.37348667,0.37348667,2.37348667,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.83456945],1,1,1,1,0.83456945,0.83456945,4.83456945,1
[0.4855732],0,0,0,0,0.4855732,0.4855732,0.4855732,0
[0.5852407],1,1,1,1,0.5852407,0.5852407,4.5852407,1
[0.67060757],1,1,1,1,0.67060757,0.67060757,4.67060757,1
[0.6950583],1,1,1,1,0.6950583,0.6950583,4.6950583,1
[0.56566],1,1,1,1,0.56566,0.56566,4.56566,1
[0.7860245],1,1,1,1,0.7860245,0.7860245,4.7860245,1
[0.47109985],0,0,0,1,0.47109985,0.47109985,1.47109985,0
[0.4721598],1,1,1,1,0.4721598,0.4721598,4.4721598,1
[0.8355875],1,1,1,1,0.8355875,0.8355875,4.8355875,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.69559115],1,1,1,1,0.69559115,0.69559115,4.69559115,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.48953483],0,0,0,0,0.48953483,0.48953483,0.48953483,0
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.28819838],0,0,0,0,0.28819838,0.28819838,0.28819838,0
[0.588143],1,1,1,1,0.588143,0.588143,4.588143,1
[0.38283476],0,0,0,0,0.38283476,0.38283476,0.38283476,0
[0.7319895],1,1,1,1,0.7319895,0.7319895,4.7319895,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.8337269],1,1,1,1,0.8337269,0.8337269,4.8337269,1
[0.534848],1,1,1,1,0.534848,0.534848,4.534848,1
